stay_year,property_id,Hotel_short_nm,Hotel_region,stays_count,room_nights,room_revenue,total_revenue,ADR,revenue_per_stay,TrevPOR,attach_rate
2023,CBL,Casablanca,EMEA,15127,35350.0,14235808.249572743,17265932.61093209,402.71027580120915,941.0860216548385,488.42807951717367,1.2128522882745552
2023,CFS,Chicago,Americas,33841,72541.0,33370385.39,40245302.2,460.0210279703892,986.0933598297922,554.7938710522326,1.2060185020236591
2023,CHI,Chiang Mai,APAC,4417,11494.0,9396252.15963115,12664832.87045419,817.4919227102097,2127.2927687641272,1101.8647007529312,1.34786004624969
2023,CHR,Golden Triangle,APAC,825,2186.0,4776289.276411577,7152145.82888145,2184.944774204747,5789.441547165548,3271.7958961031336,1.4974272735538439
2023,COS,Costa Rica,Americas,6703,30077.0,54233928.68368732,71204475.28583826,1803.1694877709654,8090.993388585308,2367.4061670325586,1.3129138348270795
2023,DEN,Denver,Americas,25582,50667.0,20257397.409416847,25277671.82954172,399.81442377517607,791.8613638267863,498.898135463748,1.2478242549455614
2023,DHS,"Doha, The Pearl Qatar",EMEA,150,462.0,399673.0086414312,493873.84390046727,865.0930922974702,2664.486724276208,1068.9910041135656,1.2356947635249216
2023,DIF,Dubai at DIFC,EMEA,9274,22628.0,16503923.32694037,23124880.0987082,729.3584641568133,1779.5906110567578,1021.9586396812887,1.4011747171025712
2023,DJB,Dubai at Jumeirah Beach,EMEA,13393,48313.0,63578963.74669392,84062493.9440128,1315.980455502534,4747.178656514143,1739.95599412193,1.3221746469308258
2023,DOH,Doha,EMEA,16958,40437.0,16551118.640177492,23201446.998476174,409.3062947344633,976.0065243647537,573.767762160303,1.4018053705539364
2023,EMB,San Francisco at Embarcadero,Americas,14886,32855.0,20650974.8,23514748.79,628.5489210165881,1387.2749428993686,715.712944452899,1.1386750028865464
2023,FLO,Florence,EMEA,6784,18585.0,37187715.284331806,44710522.133955,2000.9532033538771,5481.679729412118,2405.731618722357,1.2022927945991013
2023,FTL,Fort Lauderdale,Americas,11355,30180.0,20120962.76,26864425.4,666.6985672630882,1771.9914363716425,890.1400066269052,1.335146122003955
2023,GEN,Geneva,EMEA,8526,19035.0,32892038.722489487,41536015.82305476,1727.9768175723398,3857.851128605382,2182.086462992107,1.2627984593321993
2023,GHF,Cap Ferrat,EMEA,4164,12238.0,38975688.79564851,46468637.750968896,3184.8086938755114,9360.155810674474,3797.0777701396387,1.1922467360257902
2023,GUA,Guangzhou,APAC,64263,97893.0,27521256.649814155,34163951.47523445,281.13610421392906,428.2597552217319,348.99279289872055,1.2413659706728963
2023,HAM,Hampshire,EMEA,9795,18504.0,14412566.699412853,19863587.922704536,778.8892509410318,1471.420796264712,1073.4753525024068,1.378213078695674
2023,HAN,Hangzhou,APAC,8123,14337.0,9937940.645138156,12399526.424370334,693.1673742859842,1223.432308893039,864.8619951433587,1.2476957618414068
2023,HFS,Houston,Americas,30464,72949.0,28925998.99,33786314.63,396.5235848332396,949.5141475183823,463.1497982151915,1.1680258525100642
2023,HKG,Hong Kong,APAC,31368,91751.0,61237629.93169741,79612402.04345113,667.4328337750806,1952.2325277893844,867.7006467880582,1.3000568789525064
2023,IST,Istanbul at Sultanahmet,EMEA,3673,10157.0,10953912.695457045,13493152.949581828,1078.4594560851674,2982.27952503595,1328.4584965621568,1.231811255459238
2023,JAC,Jackson Hole,Americas,8372,28516.0,39591636.965213194,47849082.402990974,1388.400791317618,4729.05362699632,1677.9731520196021,1.2085653958949236
2023,JBG,Johannesburg,EMEA,5041,10968.0,3653943.306259571,5209222.06071218,333.1458156691804,724.8449328029302,474.9473067753629,1.4256439205797913
2023,JKR,Jakarta Capital Place,APAC,11954,26692.0,4588074.271257731,6009730.609512107,171.88949015651622,383.81079732790124,225.15100440252164,1.309859050704656
2023,KOE,Lanai Sensei,Americas,2984,10647.0,11094896.89,17936899.16,1042.067896120973,3718.128984584451,1684.690444256598,1.6166801131939135
2023,KOH,Koh Samui,APAC,3289,12598.0,15914008.906541243,21832168.234464273,1263.2170905335167,4838.555459574717,1732.9868419165164,1.3718836254697864
2023,KON,Hualalai,Americas,12597,56046.0,94107145.83154023,125908640.9401131,1679.1054817746178,7470.599811982236,2246.5232298489295,1.337928590093469
2023,KUA,Kuala Lumpur,APAC,19472,49192.0,11185146.135811904,13542360.307438822,227.37734053935404,574.422048881055,275.29598933645354,1.2107450491039842
2023,KUW,Kuwait,EMEA,18792,31635.0,12038700.473868223,15244411.733675824,380.5500386871574,640.6290162765125,481.88436016044966,1.2662838291197684
2023,KYO,Kyoto,APAC,8837,24023.0,29815960.916866172,39489570.50840732,1241.1422768541054,3373.991277228264,1643.823440386601,1.3244439989210282
2023,LAN,Langkawi,APAC,4261,14255.0,10393860.615903711,14633649.359549366,729.1378895758478,2439.300778198477,1026.562564682523,1.4079127958631972
2023,LAX,Los Angeles,Americas,20422,60970.0,42985426.43,48686652.08392215,705.0258558307364,2104.8588008030556,798.5345593557839,1.1326315946453702
2023,LCB,Los Cabos at Costa Palmas,Americas,5243,19167.0,28102962.279155593,40302753.02273694,1466.21601080793,5360.091985343428,2102.715762651272,1.4341104906449709
2023,LIS,"Lisbon, Ritz",EMEA,11666,37430.0,28240507.684792448,34002419.09588307,754.4885836172174,2420.753273169248,908.4269061149631,1.2040300222433118
2023,LON,London,EMEA,10486,35657.0,50191831.22906011,59938115.24800066,1407.6291115085428,4786.556478071726,1680.9634923858052,1.194180682001051
2023,MAC,Macau,APAC,58545,107492.0,19989201.969041098,24858624.214353655,185.95990370484407,341.43311929355366,231.2602260108069,1.2436026337046484
2023,MAL,Maldives at Kuda Huraa,APAC,3202,13268.0,20122995.8536109,31775046.830761317,1516.6563049149004,6284.508386511836,2394.8633426862616,1.5790415632898696
2023,MAN,Lanai,Americas,5545,21023.0,38804608.69,51316996.87,1845.816900061837,6998.1260036068525,2440.993049041526,1.322445931099531
2023,MAR,Tokyo at Marunouchi,APAC,5122,14972.0,12552903.751388544,16339620.371202616,838.4253106724916,2450.78167735036,1091.345202458096,1.3016606113462157
2023,MAS,Mauritius at Anahita,EMEA,5212,25811.0,25324459.63263756,35505356.622721486,981.1498830978095,4858.875601043277,1375.5901213715658,1.4020183308062781
2023,MAU,Maui,Americas,18510,84493.0,121262540.0092687,154445820.33915627,1435.17853560968,6551.190708226294,1827.9126121590696,1.2736482373480813
2023,MCA,"Macau, Grand Suites",APAC,22155,80592.0,31647033.108801283,41254491.26214745,392.68206656741717,1428.437513374014,511.89313160298104,1.3035816381370124
2023,MEX,Mexico City,Americas,18046,59398.0,25055575.240190882,29642954.624297507,421.8252338494711,1388.4281968409,499.05644338694077,1.1830881686064085
2023,MFL,Surf Club,Americas,7574,21689.0,54380223.82,64180830.9,2507.2720651021255,7179.855270662793,2959.1420028585917,1.180223735607273
